model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,mu0,s2mu,sig2,nll,converged,n_paths,alpha,a0,b0,time_scale,mean_rate
gamma,matr,normalised,published,truncH,1.0,300,1000,,,,-8544.142649239697,True,80,36.38484273028424,1.285205478149825,0.004454134741780297,0.03172588832487311,0.1260988961177448
wiener,matr,power,fair,full,1.25,150,500,5.9502983887214445e-05,1.2091352754365369e-09,4.7551871936045897e-07,-10034.626392081364,True,97,,,,,
gamma,matr,power,fair,full,1.25,150,500,,,,-12114.202297466403,True,97,0.00832287283540005,2.2324259441402607,0.010226973656978807,144.91656807978006,3.8127939455927123e-05
wiener,matr,power,fair,full,1.25,150,800,5.980623935470028e-05,1.252496681160892e-09,4.803015073103504e-07,-9744.430040979323,False,94,,,,,
gamma,matr,power,fair,full,1.25,150,800,,,,-11785.795933604872,True,94,0.008281229361028845,2.1658561845283324,0.009928094571980057,144.91656807978006,3.796042823889392e-05
wiener,matr,power,fair,full,1.25,150,1000,6.342740238138476e-05,1.428938814753381e-09,5.108515263052687e-07,-8152.02952350265,True,80,,,,,
gamma,matr,power,fair,full,1.25,150,1000,,,,-9909.269926599562,True,80,0.008491539510712541,1.8520991464228849,0.008333584059445873,144.91656807978006,3.820797522816376e-05
wiener,matr,power,fair,full,1.25,200,500,5.9502983887214445e-05,1.2091352754365369e-09,4.7551871936045897e-07,-10034.626392081364,True,97,,,,,
gamma,matr,power,fair,full,1.25,200,500,,,,-12114.202297466403,True,97,0.00832287283540005,2.2324259441402607,0.010226973656978807,144.91656807978006,3.8127939455927123e-05
wiener,matr,power,fair,full,1.25,200,800,5.980623935470028e-05,1.252496681160892e-09,4.803015073103504e-07,-9744.430040979323,False,94,,,,,
gamma,matr,power,fair,full,1.25,200,800,,,,-11785.795933604872,True,94,0.008281229361028845,2.1658561845283324,0.009928094571980057,144.91656807978006,3.796042823889392e-05
wiener,matr,power,fair,full,1.25,200,1000,6.342740238138476e-05,1.428938814753381e-09,5.108515263052687e-07,-8152.02952350265,True,80,,,,,
gamma,matr,power,fair,full,1.25,200,1000,,,,-9909.269926599562,True,80,0.008491539510712541,1.8520991464228849,0.008333584059445873,144.91656807978006,3.820797522816376e-05
wiener,matr,power,fair,full,1.5,300,500,1.1257739580812839e-05,4.715685268922213e-11,8.274529875019552e-08,-10046.97529066134,True,95,,,,,
gamma,matr,power,fair,full,1.5,300,500,,,,-12324.293870874288,True,95,0.0017540562866465224,1.8022763510235071,0.0065878071399085355,806.4434448907086,6.4115497728243215e-06
wiener,matr,power,fair,full,1.5,300,800,1.1312744801932235e-05,4.881974492596245e-11,8.299749107623198e-08,-9762.856016495734,True,92,,,,,
gamma,matr,power,fair,full,1.5,300,800,,,,-11988.916356261245,True,92,0.0017426115911215602,1.7520816791375662,0.006401900991966327,806.4434448907086,6.367298400896761e-06
wiener,matr,power,fair,full,1.5,300,1000,1.204434435561052e-05,5.53624361074995e-11,8.781124752320837e-08,-8162.052621831026,True,78,,,,,
gamma,matr,power,fair,full,1.5,300,1000,,,,-10072.926869079784,True,78,0.0017817335484836317,1.501458392334772,0.005343793197186176,806.4434448907086,6.341311663508504e-06
