model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
cloglog hazard model,sixsource,normalised,fair,full,1.0,300,800,362,23,339,137,0.40412979351032446,0.40052476109616864,0.07232591647224487,0.3475825239184413,0.9568367420683674
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,full,1.0,300,800,362,23,339,137,0.40412979351032446,0.21977137227242352,0.27029133825923424,0.78340434151847,0.5192238201922382
wiener,sixsource,normalised,fair,full,1.0,300,1000,327,23,304,154,0.506578947368421,0.9999999957773478,0.4934210457645285,10.101295944209545,0.4992640692640693
gamma,sixsource,normalised,fair,full,1.0,300,1000,327,23,304,154,0.506578947368421,0.9999999990000001,0.4934210516447368,10.225295657691614,0.5
cloglog hazard model,sixsource,normalised,fair,full,1.0,300,1000,327,23,304,154,0.506578947368421,0.5017918642907393,0.04509238393720494,0.318757813830877,0.9766450216450218
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,full,1.0,300,1000,327,23,304,154,0.506578947368421,0.26932484274037666,0.31947578995120907,0.9099495144292491,0.4277922077922078
wiener,sixsource,cycle,fair,truncH,1.0,150,500,433,34,399,114,0.2857142857142857,0.4867491866192611,0.2136797514007863,0.6670264384643284,0.7469990766389659
gamma,sixsource,cycle,fair,truncH,1.0,150,500,433,34,399,114,0.2857142857142857,0.29096388524221156,0.22839352445446248,1.9109574444787512,0.7875192366882118
cloglog hazard model,sixsource,cycle,fair,truncH,1.0,150,500,433,34,399,114,0.2857142857142857,0.2902028589869728,0.14212802195916044,0.42592274753629883,0.8236072637734688
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,truncH,1.0,150,500,433,34,399,114,0.2857142857142857,0.19841378183986177,0.21131847053433198,0.6431269120107944,0.6229916897506926
wiener,sixsource,cycle,fair,truncH,1.0,150,800,392,25,367,177,0.4822888283378747,0.6270604554241965,0.23827827823211462,0.7036436406323544,0.7992863514719001
gamma,sixsource,cycle,fair,truncH,1.0,150,800,392,25,367,177,0.4822888283378747,0.37829483332480907,0.17115802979401018,2.0967166354956492,0.8464168896818317
cloglog hazard model,sixsource,cycle,fair,truncH,1.0,150,800,392,25,367,177,0.4822888283378747,0.4808169347216748,0.12665740414060286,0.42596756484802756,0.8988105857865001
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,truncH,1.0,150,800,392,25,367,177,0.4822888283378747,0.27564244088390505,0.2888862638701835,0.827188065218106,0.5506987808504311
wiener,sixsource,cycle,fair,truncH,1.0,150,1000,357,20,337,198,0.5875370919881305,0.7068014168211163,0.23659128367803112,0.6736782531347154,0.8209069108349684
gamma,sixsource,cycle,fair,truncH,1.0,150,1000,357,20,337,198,0.5875370919881305,0.45566270721904545,0.15511898124991463,1.8962380747066967,0.8676513334786715
cloglog hazard model,sixsource,cycle,fair,truncH,1.0,150,1000,357,20,337,198,0.5875370919881305,0.5835174669261501,0.09536378363384651,0.3964697262326903,0.9334714046944262
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,truncH,1.0,150,1000,357,20,337,198,0.5875370919881305,0.31828335404907065,0.32875414570782663,0.9263546033451544,0.48477581571106754
wiener,sixsource,cycle,fair,truncH,1.0,200,500,414,13,401,98,0.24438902743142144,0.45003049758015257,0.18504567430315289,0.5553501393599808,0.7928874520105073
gamma,sixsource,cycle,fair,truncH,1.0,200,500,414,13,401,98,0.24438902743142144,0.2230748639925771,0.1970879483459277,1.9006445085628032,0.7847039806021419
cloglog hazard model,sixsource,cycle,fair,truncH,1.0,200,500,414,13,401,98,0.24438902743142144,0.24447320816067503,0.13114751893555898,0.38952440859745346,0.8397992860510541
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,truncH,1.0,200,500,414,13,401,98,0.24438902743142144,0.17404584698307607,0.1732844787917222,0.5215081571334153,0.7353337374553782
wiener,sixsource,cycle,fair,truncH,1.0,200,800,373,11,362,156,0.430939226519337,0.6187821931937973,0.21519090141478603,0.6098494910854174,0.8613081901916854
gamma,sixsource,cycle,fair,truncH,1.0,200,800,373,11,362,156,0.430939226519337,0.3167332395844018,0.17199842601765342,2.132558216803582,0.8513816280806572
cloglog hazard model,sixsource,cycle,fair,truncH,1.0,200,800,373,11,362,156,0.430939226519337,0.4301553930583676,0.11369826492025918,0.3969390064065463,0.92598643266119
