model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
random forest,matr,normalised,fair,truncH,1.0,300,500,41,0,41,13,0.3170731707317073,0.2869243826782586,0.03932879241212013,0.1275847758745967,0.989010989010989
wiener,matr,normalised,fair,truncH,1.0,300,800,38,0,38,19,0.5,0.18911089920644292,0.2820940126923135,0.7999213079020149,0.8614958448753463
gamma,matr,normalised,fair,truncH,1.0,300,800,38,0,38,19,0.5,0.1064370077556561,0.3746042169409166,1.7864068030839404,0.8642659279778393
cloglog hazard model,matr,normalised,fair,truncH,1.0,300,800,38,0,38,19,0.5,0.568528081971048,0.06910656228594474,0.28616110354983754,0.9806094182825486
random forest,matr,normalised,fair,truncH,1.0,300,800,38,0,38,19,0.5,0.5515091411186204,0.057190198629452016,0.1953052140822147,0.9833795013850415
wiener,matr,normalised,fair,truncH,1.0,300,1000,32,0,32,22,0.6875,0.46358237926821405,0.24149175765360897,0.6816389221405966,0.7
gamma,matr,normalised,fair,truncH,1.0,300,1000,32,0,32,22,0.6875,0.2611341074794261,0.39370060254519196,1.8280099582788893,0.7045454545454546
cloglog hazard model,matr,normalised,fair,truncH,1.0,300,1000,32,0,32,22,0.6875,0.7371884527055853,0.0842793904075986,0.790756673662075,0.9204545454545454
random forest,matr,normalised,fair,truncH,1.0,300,1000,32,0,32,22,0.6875,0.7069303133163606,0.07436985730997422,0.23218033956349046,0.9590909090909091
wiener,matr,cycle,published,truncH,1.0,150,500,42,1,41,13,0.3170731707317073,0.06937615308288654,0.2876746343662258,1.1208620964420846,0.6126373626373627
gamma,matr,cycle,published,truncH,1.0,150,500,42,1,41,13,0.3170731707317073,0.06292560521131199,0.3079447201828439,1.7524101965580232,0.6126373626373627
cloglog hazard model,matr,cycle,published,truncH,1.0,150,500,42,1,41,13,0.3170731707317073,0.21917134875815242,0.06734277587430297,0.21771544670542847,0.9697802197802198
random forest,matr,cycle,published,truncH,1.0,150,500,42,1,41,13,0.3170731707317073,0.29890615439641177,0.04974735215213478,0.19021822721564988,0.9697802197802198
wiener,matr,cycle,published,truncH,1.0,150,800,39,1,38,19,0.5,0.40939690008980256,0.2485738145505875,0.6880042775829369,0.6426592797783934
gamma,matr,cycle,published,truncH,1.0,150,800,39,1,38,19,0.5,0.2310380795256161,0.34213253540482436,0.9938430553650107,0.6426592797783934
cloglog hazard model,matr,cycle,published,truncH,1.0,150,800,39,1,38,19,0.5,0.5400543737589352,0.0757918560564281,0.22134380352728233,0.9833795013850417
random forest,matr,cycle,published,truncH,1.0,150,800,39,1,38,19,0.5,0.5184117927534512,0.0704674346984498,0.23552967192478425,0.9806094182825484
wiener,matr,cycle,published,truncH,1.0,150,1000,33,1,32,22,0.6875,0.6514466532751038,0.2416485043619522,0.7004182359790793,0.4545454545454545
gamma,matr,cycle,published,truncH,1.0,150,1000,33,1,32,22,0.6875,0.4501109565068106,0.3596411536963876,1.095545611353868,0.4545454545454545
cloglog hazard model,matr,cycle,published,truncH,1.0,150,1000,33,1,32,22,0.6875,0.7319681495168688,0.09818975229467292,0.34515310691578704,0.9181818181818182
random forest,matr,cycle,published,truncH,1.0,150,1000,33,1,32,22,0.6875,0.6705144162359845,0.07665560413798281,0.2506701181752247,0.9545454545454546
wiener,matr,cycle,published,truncH,1.0,200,500,42,1,41,13,0.3170731707317073,0.03951865825988196,0.2928422244494569,1.4862153239245581,0.728021978021978
gamma,matr,cycle,published,truncH,1.0,200,500,42,1,41,13,0.3170731707317073,0.03874663126935924,0.2979786579724386,2.505130694642974,0.728021978021978
cloglog hazard model,matr,cycle,published,truncH,1.0,200,500,42,1,41,13,0.3170731707317073,0.228410400840819,0.05833879629440678,0.19550913885835822,0.989010989010989
random forest,matr,cycle,published,truncH,1.0,200,500,42,1,41,13,0.3170731707317073,0.2865328429221324,0.04217170260672579,0.1533676728881329,0.978021978021978
wiener,matr,cycle,published,truncH,1.0,200,800,39,1,38,19,0.5,0.3061817675907287,0.2590905794696473,0.7061053028240365,0.7423822714681441
gamma,matr,cycle,published,truncH,1.0,200,800,39,1,38,19,0.5,0.1370352673864453,0.38051184482022293,1.294743327493701,0.7423822714681441
cloglog hazard model,matr,cycle,published,truncH,1.0,200,800,39,1,38,19,0.5,0.5343260296514051,0.0863065140346052,0.24838648659566692,0.9695290858725762
random forest,matr,cycle,published,truncH,1.0,200,800,39,1,38,19,0.5,0.5065512125918189,0.0602475817584634,0.2061765345394254,0.9861495844875346
wiener,matr,cycle,published,truncH,1.0,200,1000,33,1,32,22,0.6875,0.569152943038195,0.2423140862673208,0.6845282646619013,0.5590909090909091
gamma,matr,cycle,published,truncH,1.0,200,1000,33,1,32,22,0.6875,0.3277368511934544,0.39814681490428505,1.333924814052865,0.5590909090909091
cloglog hazard model,matr,cycle,published,truncH,1.0,200,1000,33,1,32,22,0.6875,0.7450318871319905,0.09972326618271074,0.63642552814686,0.9136363636363636
random forest,matr,cycle,published,truncH,1.0,200,1000,33,1,32,22,0.6875,0.6830087532651454,0.07184485971162242,0.22772359413051302,0.959090909090909
wiener,matr,cycle,published,truncH,1.0,300,500,42,1,41,13,0.3170731707317073,0.021854388801565,0.2946397646812181,2.4670050855948897,0.8379120879120879
gamma,matr,cycle,published,truncH,1.0,300,500,42,1,41,13,0.3170731707317073,0.04702722741126759,0.2692828159873367,3.535760475479403,0.8351648351648351
cloglog hazard model,matr,cycle,published,truncH,1.0,300,500,42,1,41,13,0.3170731707317073,0.27129592996526014,0.0375052001810291,0.12004359776380549,0.9945054945054945
random forest,matr,cycle,published,truncH,1.0,300,500,42,1,41,13,0.3170731707317073,0.29536191991671196,0.041188301515702005,0.1336826709134031,0.989010989010989
wiener,matr,cycle,published,truncH,1.0,300,800,39,1,38,19,0.5,0.1923145668320061,0.27926927026994514,0.791468518010991,0.8614958448753463
gamma,matr,cycle,published,truncH,1.0,300,800,39,1,38,19,0.5,0.1065468285277238,0.37451483306952493,1.787899211500538,0.8642659279778393
cloglog hazard model,matr,cycle,published,truncH,1.0,300,800,39,1,38,19,0.5,0.5685280676055244,0.06910652195123242,0.2861617757795339,0.9806094182825486
random forest,matr,cycle,published,truncH,1.0,300,800,39,1,38,19,0.5,0.5554772325455313,0.05847653562742488,0.19971362951352312,0.9833795013850416
wiener,matr,cycle,published,truncH,1.0,300,1000,33,1,32,22,0.6875,0.459609160302101,0.24344652109774673,0.686921651297659,0.7
gamma,matr,cycle,published,truncH,1.0,300,1000,33,1,32,22,0.6875,0.2617027761964731,0.39325867401913495,1.828384121335025,0.7045454545454546
cloglog hazard model,matr,cycle,published,truncH,1.0,300,1000,33,1,32,22,0.6875,0.737188452705472,0.08427939040751997,0.7907566736619382,0.9204545454545454
random forest,matr,cycle,published,truncH,1.0,300,1000,33,1,32,22,0.6875,0.7111362337892433,0.07281949989162188,0.2262223463559701,0.9636363636363637
wiener,matr,normalised,published,truncH,1.0,150,500,42,1,41,13,0.3170731707317073,0.06937615309259557,0.28767463412570715,1.1208620931471027,0.6126373626373627
gamma,matr,normalised,published,truncH,1.0,150,500,42,1,41,13,0.3170731707317073,0.06292560686295962,0.3079447203166872,1.7524101376887773,0.6126373626373627
cloglog hazard model,matr,normalised,published,truncH,1.0,150,500,42,1,41,13,0.3170731707317073,0.21917134875815242,0.06734277587430297,0.21771544670542847,0.9697802197802198
